TR,SRC,GEO,MD,TVD,SD,PICK1,PICK2,RCX,RCY,TVDSD,SCX,SCY,SCD
99,4,24,5150,5150,10.00000032,0.80585,1.33630241,0,0,5140.000138,-3500,0,0.00013873
100,4,25,5200,5200,10.00000032,0.81165,1.349984454,0,0,5190.000138,-3500,0,0.00013873
101,5,1,4000,4000,10.00000032,0.6425,1.031196287,0,0,3990.000138,-3000,0,0.00013873
102,5,2,4050,4050,10.00000032,0.64815,1.044861477,0,0,4040.000138,-3000,0,0.00013873
103,5,3,4100,4100,10.00000032,0.65385,1.058577555,0,0,4090.000138,-3000,0,0.00013873
104,5,4,4150,4150,10.00000032,0.65955,1.072264729,0,0,4140.000138,-3000,0,0.00013873
105,5,5,4200,4200,10.00000032,0.6653,1.086004464,0,0,4190.000138,-3000,0,0.00013873
106,5,6,4250,4250,10.00000032,0.67105,1.099716279,0,0,4240.000138,-3000,0,0.00013873
107,5,7,4300,4300,10.00000032,0.6768,1.113400348,0,0,4290.000138,-3000,0,0.00013873
108,5,8,4350,4350,10.00000032,0.68255,1.127056861,0,0,4340.000138,-3000,0,0.00013873
109,5,9,4400,4400,10.00000032,0.68835,1.140768588,0,0,4390.000138,-3000,0,0.00013873
110,5,10,4450,4450,10.00000032,0.6941,1.154370918,0,0,4440.000138,-3000,0,0.00013873
111,5,11,4500,4500,10.00000032,0.6999,1.168029494,0,0,4490.000138,-3000,0,0.00013873
112,5,12,4550,4550,10.00000032,0.70575,1.181745407,0,0,4540.000138,-3000,0,0.00013873
113,5,13,4600,4600,10.00000032,0.71155,1.19535231,0,0,4590.000138,-3000,0,0.00013873
114,5,14,4650,4650,10.00000032,0.7174,1.209017572,0,0,4640.000138,-3000,0,0.00013873
115,5,15,4700,4700,10.00000032,0.72325,1.222657999,0,0,4690.000138,-3000,0,0.00013873
116,5,16,4750,4750,10.00000032,0.72915,1.236358333,0,0,4740.000138,-3000,0,0.00013873
117,5,17,4800,4800,10.00000032,0.735,1.249950083,0,0,4790.000138,-3000,0,0.00013873
118,5,18,4850,4850,10.00000032,0.7409,1.263602743,0,0,4840.000138,-3000,0,0.00013873
119,5,19,4900,4900,10.00000032,0.7468,1.277232063,0,0,4890.000138,-3000,0,0.00013873
120,5,20,4950,4950,10.00000032,0.7527,1.290838295,0,0,4940.000138,-3000,0,0.00013873
121,5,21,5000,5000,10.00000032,0.7586,1.304421698,0,0,4990.000138,-3000,0,0.00013873
122,5,22,5050,5050,10.00000032,0.76455,1.318068461,0,0,5040.000138,-3000,0,0.00013873
123,5,23,5100,5100,10.00000032,0.7705,1.331693362,0,0,5090.000138,-3000,0,0.00013873
124,5,24,5150,5150,10.00000032,0.77645,1.345296653,0,0,5140.000138,-3000,0,0.00013873
125,5,25,5200,5200,10.00000032,0.7824,1.35887859,0,0,5190.000138,-3000,0,0.00013873
126,6,1,4000,4000,10.00000032,0.61165,1.040749587,0,0,3990.000138,-2500,0,0.00013873
127,6,2,4050,4050,10.00000032,0.6175,1.05431195,0,0,4040.000138,-2500,0,0.00013873
128,6,3,4100,4100,10.00000032,0.6234,1.067931202,0,0,4090.000138,-2500,0,0.00013873
